## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[OUT.realigned.bam] OUTPUT=OUT.sam.bam.marked.bam METRICS_FILE=OUT.sam.bam.metrics.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[/media/mrueda/2TBS/CNAG/Project_CBI_Call/cbicall/examples/input/CNAG999_exome/CNAG99901P_ex/cbicall_bash_mit_single_gatk-3.5_649547582283533/01_mtoolbox/OUT_CNAG99901P-DNA_MIT/tmp]    PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Fri Dec 05 18:12:43 CET 2025

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
sample	0	4856	0	0	281	0	0.057867	40323

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999999
2.0	1.886539
3.0	2.672494
4.0	3.369275
5.0	3.987
6.0	4.534639
7.0	5.020144
8.0	5.450564
9.0	5.832149
10.0	6.17044
11.0	6.470348
12.0	6.73623
13.0	6.971945
14.0	7.180916
15.0	7.366178
16.0	7.53042
17.0	7.676027
18.0	7.805114
19.0	7.919555
20.0	8.021011
21.0	8.110957
22.0	8.190697
23.0	8.26139
24.0	8.324062
25.0	8.379624
26.0	8.428882
27.0	8.472551
28.0	8.511265
29.0	8.545587
30.0	8.576015
31.0	8.60299
32.0	8.626905
33.0	8.648107
34.0	8.666903
35.0	8.683566
36.0	8.698339
37.0	8.711436
38.0	8.723046
39.0	8.73334
40.0	8.742465
41.0	8.750556
42.0	8.757728
43.0	8.764086
44.0	8.769723
45.0	8.774721
46.0	8.779151
47.0	8.783079
48.0	8.786561
49.0	8.789649
50.0	8.792385
51.0	8.794812
52.0	8.796963
53.0	8.79887
54.0	8.80056
55.0	8.802059
56.0	8.803388
57.0	8.804566
58.0	8.80561
59.0	8.806536
60.0	8.807357
61.0	8.808085
62.0	8.80873
63.0	8.809302
64.0	8.809809
65.0	8.810258
66.0	8.810657
67.0	8.81101
68.0	8.811323
69.0	8.811601
70.0	8.811847
71.0	8.812065
72.0	8.812259
73.0	8.81243
74.0	8.812582
75.0	8.812717
76.0	8.812837
77.0	8.812943
78.0	8.813037
79.0	8.81312
80.0	8.813194
81.0	8.813259
82.0	8.813317
83.0	8.813369
84.0	8.813414
85.0	8.813455
86.0	8.81349
87.0	8.813522
88.0	8.81355
89.0	8.813575
90.0	8.813597
91.0	8.813617
92.0	8.813635
93.0	8.81365
94.0	8.813664
95.0	8.813676
96.0	8.813686
97.0	8.813696
98.0	8.813704
99.0	8.813712
100.0	8.813719

