## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /media/mrueda/2TBS/CNAG/Project_CBI_Call/cbicall/examples/input/CNAG999_exome/CNAG99901P_ex/cbicall_bash_wes_single_gatk-4.6_647692801509860/01_bam/CNAG99901P.rg.merged.bam --OUTPUT /media/mrueda/2TBS/CNAG/Project_CBI_Call/cbicall/examples/input/CNAG999_exome/CNAG99901P_ex/cbicall_bash_wes_single_gatk-4.6_647692801509860/01_bam/CNAG99901P.rg.merged.dedup.bam --METRICS_FILE /media/mrueda/2TBS/CNAG/Project_CBI_Call/cbicall/examples/input/CNAG999_exome/CNAG99901P_ex/cbicall_bash_wes_single_gatk-4.6_647692801509860/01_bam/CNAG99901P.rg.merged.dedup.metrics.txt --TMP_DIR /media/mrueda/2TBS/tmp --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 03 14:41:32 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
sureselect	0	55000	12	0	0	17	15	0.000309	755819229

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000273	54966	0	54981
2.0	2.000473	17	15	2
3.0	3.0006	0	0	0
4.0	4.000654	0	0	0
5.0	5.000636	0	0	0
6.0	6.000545	0	0	0
7.0	7.000381	0	0	0
8.0	8.000145	0	0	0
9.0	8.999835	0	0	0
10.0	9.999453	0	0	0
11.0	10.998998	0	0	0
12.0	11.998471	0	0	0
13.0	12.997871	0	0	0
14.0	13.997197	0	0	0
15.0	14.996452	0	0	0
16.0	15.995633	0	0	0
17.0	16.994742	0	0	0
18.0	17.993778	0	0	0
19.0	18.992742	0	0	0
20.0	19.991633	0	0	0
21.0	20.990451	0	0	0
22.0	21.989196	0	0	0
23.0	22.987869	0	0	0
24.0	23.986469	0	0	0
25.0	24.984996	0	0	0
26.0	25.983451	0	0	0
27.0	26.981833	0	0	0
28.0	27.980142	0	0	0
29.0	28.978379	0	0	0
30.0	29.976543	0	0	0
31.0	30.974635	0	0	0
32.0	31.972654	0	0	0
33.0	32.9706	0	0	0
34.0	33.968474	0	0	0
35.0	34.966275	0	0	0
36.0	35.964003	0	0	0
37.0	36.961659	0	0	0
38.0	37.959242	0	0	0
39.0	38.956753	0	0	0
40.0	39.954191	0	0	0
41.0	40.951556	0	0	0
42.0	41.948849	0	0	0
43.0	42.94607	0	0	0
44.0	43.943217	0	0	0
45.0	44.940293	0	0	0
46.0	45.937295	0	0	0
47.0	46.934225	0	0	0
48.0	47.931083	0	0	0
49.0	48.927868	0	0	0
50.0	49.924581	0	0	0
51.0	50.921221	0	0	0
52.0	51.917788	0	0	0
53.0	52.914283	0	0	0
54.0	53.910705	0	0	0
55.0	54.907055	0	0	0
56.0	55.903333	0	0	0
57.0	56.899538	0	0	0
58.0	57.89567	0	0	0
59.0	58.89173	0	0	0
60.0	59.887717	0	0	0
61.0	60.883632	0	0	0
62.0	61.879475	0	0	0
63.0	62.875245	0	0	0
64.0	63.870943	0	0	0
65.0	64.866568	0	0	0
66.0	65.862121	0	0	0
67.0	66.857601	0	0	0
68.0	67.853009	0	0	0
69.0	68.848344	0	0	0
70.0	69.843607	0	0	0
71.0	70.838798	0	0	0
72.0	71.833916	0	0	0
73.0	72.828961	0	0	0
74.0	73.823935	0	0	0
75.0	74.818836	0	0	0
76.0	75.813664	0	0	0
77.0	76.80842	0	0	0
78.0	77.803104	0	0	0
79.0	78.797715	0	0	0
80.0	79.792254	0	0	0
81.0	80.786721	0	0	0
82.0	81.781115	0	0	0
83.0	82.775437	0	0	0
84.0	83.769687	0	0	0
85.0	84.763864	0	0	0
86.0	85.757969	0	0	0
87.0	86.752001	0	0	0
88.0	87.745961	0	0	0
89.0	88.739849	0	0	0
90.0	89.733665	0	0	0
91.0	90.727408	0	0	0
92.0	91.721079	0	0	0
93.0	92.714678	0	0	0
94.0	93.708204	0	0	0
95.0	94.701658	0	0	0
96.0	95.69504	0	0	0
97.0	96.688349	0	0	0
98.0	97.681586	0	0	0
99.0	98.674751	0	0	0
100.0	99.667844	0	0	0

