## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /media/mrueda/2TBS/CNAG/Project_CBI_Call/cbicall/examples/input/CNAG999_exome/CNAG99901P_ex/cbicall_bash_wes_single_gatk-4.6_648480891882296/01_bam/CNAG99901P.rg.merged.bam --OUTPUT /media/mrueda/2TBS/CNAG/Project_CBI_Call/cbicall/examples/input/CNAG999_exome/CNAG99901P_ex/cbicall_bash_wes_single_gatk-4.6_648480891882296/01_bam/CNAG99901P.rg.merged.dedup.bam --METRICS_FILE /media/mrueda/2TBS/CNAG/Project_CBI_Call/cbicall/examples/input/CNAG999_exome/CNAG99901P_ex/cbicall_bash_wes_single_gatk-4.6_648480891882296/01_bam/CNAG99901P.rg.merged.dedup.metrics.txt --TMP_DIR /media/mrueda/2TBS/tmp --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 04 12:35:04 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
sureselect	4	55049	6	4	4	288	0	0.005268	5242732

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	54491	54491
2.0	1.989555	253	253
3.0	2.968774	16	16
4.0	3.937765	1	1
5.0	4.896634	0	0
6.0	5.845488	0	0
7.0	6.784431	0	0
8.0	7.713567	0	0
9.0	8.632998	0	0
10.0	9.542825	0	0
11.0	10.443149	0	0
12.0	11.334069	0	0
13.0	12.215683	0	0
14.0	13.088089	0	0
15.0	13.951382	0	0
16.0	14.805658	0	0
17.0	15.651011	0	0
18.0	16.487534	0	0
19.0	17.31532	0	0
20.0	18.134459	0	0
21.0	18.945043	0	0
22.0	19.747159	0	0
23.0	20.540898	0	0
24.0	21.326345	0	0
25.0	22.103589	0	0
26.0	22.872714	0	0
27.0	23.633806	0	0
28.0	24.386948	0	0
29.0	25.132223	0	0
30.0	25.869714	0	0
31.0	26.599501	0	0
32.0	27.321666	0	0
33.0	28.036288	0	0
34.0	28.743445	0	0
35.0	29.443216	0	0
36.0	30.135678	0	0
37.0	30.820907	0	0
38.0	31.498979	0	0
39.0	32.169968	0	0
40.0	32.833949	0	0
41.0	33.490994	0	0
42.0	34.141176	0	0
43.0	34.784567	0	0
44.0	35.421238	0	0
45.0	36.051259	0	0
46.0	36.674699	0	0
47.0	37.291627	0	0
48.0	37.902111	0	0
49.0	38.506219	0	0
50.0	39.104017	0	0
51.0	39.69557	0	0
52.0	40.280945	0	0
53.0	40.860205	0	0
54.0	41.433415	0	0
55.0	42.000638	0	0
56.0	42.561936	0	0
57.0	43.117371	0	0
58.0	43.667005	0	0
59.0	44.210897	0	0
60.0	44.749109	0	0
61.0	45.281699	0	0
62.0	45.808726	0	0
63.0	46.330248	0	0
64.0	46.846323	0	0
65.0	47.357007	0	0
66.0	47.862357	0	0
67.0	48.362428	0	0
68.0	48.857277	0	0
69.0	49.346956	0	0
70.0	49.831521	0	0
71.0	50.311025	0	0
72.0	50.785519	0	0
73.0	51.255058	0	0
74.0	51.719693	0	0
75.0	52.179474	0	0
76.0	52.634453	0	0
77.0	53.084679	0	0
78.0	53.530203	0	0
79.0	53.971073	0	0
80.0	54.407339	0	0
81.0	54.839047	0	0
82.0	55.266246	0	0
83.0	55.688983	0	0
84.0	56.107305	0	0
85.0	56.521257	0	0
86.0	56.930885	0	0
87.0	57.336235	0	0
88.0	57.737351	0	0
89.0	58.134277	0	0
90.0	58.527057	0	0
91.0	58.915734	0	0
92.0	59.300352	0	0
93.0	59.680952	0	0
94.0	60.057577	0	0
95.0	60.430268	0	0
96.0	60.799066	0	0
97.0	61.164012	0	0
98.0	61.525147	0	0
99.0	61.882509	0	0
100.0	62.236138	0	0

