Coverage of Assembled mtDNA. Coverage 91.7376 - Per base depth 37.667.
Name	Type	Start	End	Length	Coverage	MeanDepth
Contig.1	Contig	1	1774	1774	98.929	175.725
Contig.2	Contig	1982	2089	108	63.889	5.319
Contig.3	Contig	2151	4177	2027	97.089	20.264
Contig.4	Contig	4248	4578	331	88.218	8.740
Contig.5	Contig	4616	4618	3	100.000	5.000
Contig.6	Contig	4652	7261	2610	96.782	24.015
Contig.7	Contig	7474	7480	7	28.571	5.000
Contig.8	Contig	7492	7500	9	22.222	5.000
Contig.9	Contig	7522	8279	758	97.625	16.324
Contig.10	Contig	8290	8794	505	91.089	11.426
Contig.11	Contig	8883	9513	631	96.197	19.718
Contig.12	Contig	9526	10012	487	96.304	10.670
Contig.13	Contig	10042	11363	1322	94.856	11.719
Contig.14	Contig	11411	16541	5131	98.480	22.093
Gap.1	Gap	1775	1981	207	0.000	0.000
Gap.2	Gap	2090	2150	61	0.000	0.000
Gap.3	Gap	4178	4247	70	0.000	0.000
Gap.4	Gap	4579	4615	37	0.000	0.000
Gap.5	Gap	4619	4651	33	0.000	0.000
Gap.6	Gap	7262	7473	212	0.000	0.000
Gap.7	Gap	7481	7491	11	0.000	0.000
Gap.8	Gap	7501	7521	21	0.000	0.000
Gap.9	Gap	8280	8289	10	0.000	0.000
Gap.10	Gap	8795	8882	88	0.000	0.000
Gap.11	Gap	9514	9525	12	0.000	0.000
Gap.12	Gap	10013	10041	29	0.000	0.000
Gap.13	Gap	11364	11410	47	0.000	0.000
Gap.14	Gap	16542	16569	28	0.000	0.000
D-Loop1	Annotation	1	578	578	99.481	77.202
ND5	Annotation	12337	14149	1813	99.338	16.136
ATP6	Annotation	8527	9208	682	85.630	16.110
ND3	Annotation	10059	10405	347	89.625	8.563
ND4L	Annotation	10470	10767	298	100.000	16.020
ND1	Annotation	3308	4263	956	87.134	11.699
ND6	Annotation	14149	14674	526	100.000	37.770
ND4	Annotation	10760	12138	1379	93.328	12.518
CYTB	Annotation	14747	15888	1142	99.299	27.166
COX1	Annotation	5904	7446	1543	83.603	14.966
D-Loop2	Annotation	16025	16571	547	91.408	17.892
RNR2	Annotation	1673	3230	1558	79.525	24.812
ND2	Annotation	4470	5512	1043	90.604	21.870
COX2	Annotation	7586	8270	685	97.518	17.385
RNR1	Annotation	650	1603	954	98.637	218.714
COX3	Annotation	9207	9991	785	94.013	15.168
ATP8	Annotation	8366	8573	208	97.115	8.144
